,Number of iterations,Number of cuts,Number of executions,Average error
181,140.0,2.0,140.0,0.00013770726025312584
182,133.0,2.0,133.0,0.00022918004428246352
183,195.0,1.0,195.0,5.289205472630565e-06
184,203.0,1.0,203.0,4.019800465854262e-06
185,173.0,2.0,173.0,0.0001527532394764774
186,232.0,2.0,232.0,5.352634606116055e-06
187,142.0,1.0,142.0,3.616185060188737e-05
188,132.0,2.0,132.0,0.00017618297897567252
189,154.0,2.0,154.0,0.00015162556734245788
190,150.0,2.0,150.0,0.0001119310416749822
191,92.0,2.0,92.0,0.0004970463813017866
192,188.0,1.0,188.0,9.482397633278628e-06
193,133.0,2.0,133.0,0.0001584611055898587
194,174.0,1.0,174.0,1.3785741183131028e-05
195,150.0,2.0,150.0,6.701262476000267e-05
196,324.0,2.0,324.0,0.0008586542861851607
197,120.0,2.0,120.0,0.002994633673682331
198,123.0,2.0,123.0,0.00012510755238424312
199,190.0,1.0,190.0,1.3677650778073924e-05
200,192.0,1.0,192.0,7.794475580399918e-06
201,226.0,2.0,226.0,8.147640038967529e-05
202,224.0,1.0,224.0,3.318225608867076e-06
203,162.0,1.0,162.0,1.572022795709796e-05
204,183.0,1.0,183.0,8.418815321001305e-06
205,121.0,2.0,121.0,0.00021493438823396737
206,111.0,2.0,111.0,0.00033151194464863323
207,190.0,1.0,190.0,5.710600733083854e-06
208,201.0,1.0,201.0,1.5482428498025946e-05
209,181.0,1.0,181.0,8.881292802201401e-06
210,187.0,1.0,187.0,3.045618176197862e-06
211,173.0,1.0,173.0,2.7557975688236036e-06
212,162.0,2.0,162.0,6.25445313584324e-05
213,195.0,1.0,195.0,5.2216029371721095e-06
214,200.0,2.0,200.0,0.00010422296624807102
215,338.0,2.0,338.0,0.00013797742805785052
216,175.0,2.0,175.0,1.313086091585475e-05
217,181.0,1.0,181.0,1.9345384045077463e-05
218,553.0,2.0,553.0,9.462134739607764e-05
219,147.0,2.0,147.0,0.0002234688640895436
220,204.0,1.0,204.0,2.739042362656652e-06
221,172.0,2.0,172.0,0.00013670171609382232
222,132.0,2.0,132.0,0.00015299453122574877
223,118.0,2.0,118.0,0.0026002522601136922
224,187.0,1.0,187.0,1.3379811622568627e-05
225,194.0,1.0,194.0,5.866575408838837e-06
226,217.0,1.0,217.0,5.912267946328598e-06
227,204.0,1.0,204.0,4.714028631506301e-06
228,169.0,1.0,169.0,2.3658058845701935e-05
229,188.0,1.0,188.0,2.373666326365917e-05
230,188.0,2.0,188.0,0.00031524433308942015
